id;username;tweetID;content;likeCount;retweetCount;quoteCount;replyCount;label;weighted_sentiment;pos_sentiword;neg_sentiword;len;pos_inset;neg_inset;normalized;len_normalized;n_keywords;tag_owi;tag_prab;tag_overall;Barasa;inset;indobert
42;AtoillahS;1118556917792530432;"@AkunTofa @msaid_didu Dalam Pilkada DKI putaran kedua, survei dari:

1. SRMC: Anies 47.9% vs 46.9% Ahok
2. LSI: Anies 51.4% vs 42.7% Ahok
3. Median: Anies 49% vs 47.1% Ahok
4. Indikator: Anies 48.2% vs 47.4% Ahok
5. KPU: Anies 57.9% vs 42% Ahok

Tinggal Googling, bego-mu ilang langsung, Bro!";1;0;1;1;-1.0;-0.5;0.25;0.375;6;3;-4;pemilihan kepala daerah dki putaran survei srmc anies vs ahok lsi anies vs ahok median anies vs ahok indikator anies vs ahok kpu anies vs ahok googling bego hilang saudara laki-laki;181;13;2.0;2.0;2.0;2;2;1
43;pakguruhonorer;1101881598708871168;Pemimpin yang tipu rakyat,  merampok uang rakyat dengan cara rasuah (korupsi) dan tidak menunaikan janji kampanye Pemilu, rakyat tidak akan mengundi (memilih) pemimpin dan partai politik yang bersangkutan pada Pemilu (Pilihan Raya Umum) https://t.co/ofEjIjd16J;1;1;0;0;-1.0;-1.5;0.25;0.25;20;8;-10;pemimpin tipu rakyat merampok uang rakyat rasuah korupsi menunaikan janji kampanye pemilu rakyat mengundi memilih pemimpin partai politik bersangkutan pemilu pilihan raya httpurl;178;13;1.0;4.0;2.0;2;2;1
45;Aguskrw7081;1065247564746768384;"@BSukamdono @prabowo ini track record saya
1.jaman orba pilih pdi
2.awal reformasi pilih pks
3.jaman pak SBY saya golput
4.2014 pilih pak Prabowo
5.2019 insyaALLOH pilih pak Prabowo, untuk caleg, saya blm menentukan pilihan. yg pasti bukan dari partai pendukung petahana.";1;0;0;1;-1.0;-0.5;0.0;0.0;10;9;-16;track record jaman orba pilih pdi reformasi pilih pks jaman sby golongan putih pilih prabowo insyaalloh pilih prabowo caleg menentukan pilihan partai pendukung petahana;168;13;1.0;3.0;3.0;2;1;1
46;alex_hunter146;1086070686882254849;@Arie_Kriting @satjadidja Pak Jokowi Itu Bertanya Kpd Prabowo Ttg Retorika Prabowo Bhw Korupsi Di Indonesia Itu Sudah Stadium 4 Tapi Justru Parpol Yg Di Pimpinnya Adl Parpol Yg Terbanyak Usung Caleg Koruptor Dimana Capres 02 Sendiri Yg Tanda Tangani Pencalegan Koruptor Tsb;2;0;0;0;-1.0;-1.0;0.125;0.125;7;0;-8;jokowi prabowo retorika prabowo bhw korupsi indonesia stadium partai politik pimpin adl partai politik usung caleg koruptor capres tanda tangani pencalegan koruptor tsb;168;13;3.0;1.0;2.0;2;1;1
49;kembangkertas97;1126642704660582400;"@CakKhum @dulatips Pemilunya dah berlalu 23 hari. QC menangkan jokowi, situng KPU sampai detik ini sm jg menang jokowi.

Kl pun seandainya menang Jokowi kenapa yang deklarasi menang Pilpres sampai sujud syukur 4x bkn jokowi? 

Apakah benar RQ internal menangkan Prabowo jika buka2an data aj ga mau?";3;0;0;0;-1.0;-1.5;1.25;0.0;8;20;-24;pemilu qc menangkan jokowi situng kpu detik menang jokowi menang jokowi deklarasi menang pilpres sujud syukur jokowi rq internal menangkan prabowo buka data;156;13;2.0;1.0;2.0;3;2;1
57;RahmanHady5;1084490942634020864;"@PKSejahtera @SyifaZNisa Saran sy supaya
1.parpol pendukung 02 supaya gencar kampanye door to door kemasyarakat baik pileg maupun pilpresnya
2.Minimal parpol pendukung 02 sosialisasikan nama caleg per dapil setiap parpol kl bs program nya juga di tuit.
Krn terus terang di tmpat sy minim sosialisasi caleg";1;0;0;2;-1.0;-0.5;0.375;0.75;15;15;-15;saran partai politik pendukung gencar kampanye door to door kemasyarakat pileg pilpresnya minimal partai politik pendukung sosialisasikan nama caleg dapil partai politik program tuit terang tmpat minim sosialisasi caleg;219;12;4.0;2.0;2.0;2;2;1
58;Arcadiu34011009;1123832972208214017;"Kpd Yth. Elite Politik; TNI; POLRI; dan Pendukung 01
Demi KeUtuhan NKRI,
Rakyat sbg Pemegang Kedaulatan Tertinggi tlah menentukan pilihannya ke Kubu 02. Ayo bersatu dg Rakyat melawan kebathilan-kecurangan thd pemilu 2019. Bela Rakyat, Bela NKRI, Bela Pancasila.";4;1;0;0;-1.0;-3.0;1.0;0.375;19;21;-2;yth elite politik tni polri pendukung keutuhan nkri rakyat pemegang kedaulatan tertinggi tlah menentukan pilihan kubu ayo bersatu rakyat melawan kebathilan kecurangan pemilu bela rakyat bela nkri bela pancasila;210;12;2.0;3.0;3.0;3;3;1
62;nita_btp;1104927272547414018;"@putra_sholeh52 @Garuda501 @LisaAmartaTara @PKSejahtera Di rungkut SBY poster caleg pdip jarang pasang foto jkw-ma’ruf lho..paling cuma tulisan aja. Bahkan caleg DPRri dr pdip berani sewa reklame dijln besar tp ga masang poto jkw. Kl caleg gerindra hampir semua pasang,&amp; ada caleg seorg pendeta beliau berani pasang poto prabowo-sandi.";1;0;0;0;-1.0;-0.5;0.875;2.0;11;15;0;rungkut sby poster caleg pdip pasang foto jokowi ruf lho tulisan caleg dprri pdip berani sewa reklame dijln masang poto jokowi caleg gerindra pasang caleg seorg pendeta berani pasang poto prabowo sandi;201;12;2.0;2.0;2.0;1;3;1
69;ducati13_new;1104556380084559872;"@ibnbukhari___ @riantibaskoro @prabowo @sandiuno UAS disuruh netral
AA Gym disuruh netral
Sabyan disuruh netral

Nanti lama2:
Gerindra disuruh netral
PKS disuruh netral
PAN disuruh netral
Demokrat disuruh netral
Berkarya disuruh netral
BPN disuruh netral..";1;0;0;1;-1.0;-0.5;1.125;6.75;12;3;-18;uas disuruh netral aa gym disuruh netral sabyan disuruh netral gerindra disuruh netral pks disuruh netral pan disuruh netral demokrat disuruh netral berkarya disuruh netral bpn disuruh netral;191;12;4.0;4.0;2.0;1;1;1
70;IrJongosWidobol;1055813476055011329;@Dennysiregar7 negara akan hancur kalau keadilan hukum tidak ditegakkan dan Presidennya hrs diganti..contoh hukum penyebar hoax kyk lo yg kmrn aja tdk dilanjutin apalgi pembakar bendera Tauhid....hancur..hancur des...klo ttp Plonga plongo yg jd Presiden tdk ada keadilan hukum direzim ini;3;0;0;1;-1.0;-1.5;0.375;0.0;15;15;-18;negara hancur keadilan hukum ditegakkan presiden diganti hukum penyebar isu bohong dilanjutin apalgi pembakar bendera tauhid hancur hancur des plonga plongo presiden keadilan hukum direzim;188;12;4.0;4.0;2.0;2;2;1
71;SayapGaruda08;1048258927563923457;Pelaku Hoax sudah mulai di tersangkakan aparat! Ini momen bagus buat rakyat Indonesia yang merasa telah di bohongi dengan Janji2 atau kabar Hoax dari Pemimpin, lembaga survei, Caleg, partai atau siapapun untuk melapor ke aparat. Kita buktikan aparat tidk tebang pilih!;2;1;0;0;-1.0;-2.0;0.0;0.125;12;4;-33;pelaku isu bohong tersangkakan aparat momen bagus rakyat indonesia bohongi janji kabar isu bohong pemimpin lembaga survei caleg partai melapor aparat buktikan aparat tidk tebang pilih;183;12;4.0;4.0;3.0;2;1;1
72;kangirul803;1111919280663093248;"@Andikabrivano @Namaku_Mei @kucingeksotic @prabowo Konon orang pinter kalahnya sama orang beruntung..
Jokowi jadi walikota, sudah
Jokowi jadi Gubernur, sudah
Jokowi jadi Presiden sekaligus Panglima tertinggi TNi, sudah
Lhaaa Prabowo
Keluarga ancur iyaa
Pecatan TNI Iyaa
Nyapres seumur idup iyaa
Kalo aku sih pilih jadi jokowi 😁 https://t.co/HiFLJaa3N8";1;0;0;0;-1.0;-0.5;1.125;0.5;11;22;-10;konon pinter kalah beruntung jokowi walikota jokowi gubernur jokowi presiden panglima tertinggi tni lhaaa prabowo keluarga hancur pecatan tni nyapres seumur idup pilih jokowi httpurl;182;12;3.0;4.0;3.0;3;3;1
74;didienAZHAR;1111133632221974528;Capres paslon 02 dan Ketua umum partai Gerindra Prabowo Subianto ini telah mengatakan rakyat Indonesia sudah muak terhadap korupsi. Jika terpilih, Prabowo mantan Danjen Kopasus ini mengatakan akan membangun pemerintahan yang bebas dari korupsi dan masyarakat yg adil serta makmur.;8;2;0;1;0.0;0.0;0.25;0.25;13;8;-20;capres paslon ketua partai gerindra prabowo subianto rakyat indonesia muak korupsi terpilih prabowo danjen kopasus membangun pemerintahan bebas korupsi masyarakat adil makmur;174;12;4.0;3.0;3.0;2;1;2
75;ninjutx;1107208924652924928;"@EmillyLuwita46 kalo itu pertanyaanmu, sy jawab jkw tdk turut andil dr OTT KPK krn
*KPK bukan bawahan jkw.
*KPK gak diperintah jkw.
*KPK gak bs di intervensi jkw.
*KPK itu lembaga independent.

artinya jokowi do NOTHING !

tapi kok hestekmu #01BerantasKoruptor seolah KPK dikendalikan jokowi ? 🙃 https://t.co/Zsvk9Qn21r";0;1;1;0;-1.0;-1.0;1.0;0.5;4;5;-3;jokowi andil ott kpk kpk bawahan jokowi kpk diperintah jokowi kpk intervensi jokowi kpk lembaga independent arti jokowi do nothing hestekmu kpk dikendalikan jokowi httpurl;171;12;1.0;4.0;2.0;2;2;1
77;NurSyahbana9;1041246768447467520;"Polisi: Penyebar Video Hoax Rusuh di MK Anggota FPI  
https://t.co/oDl3l5VK1o
 Padahal sebelumnya banyak yang teriak-teriak dan memberikan warning ""hati-hati propaganda PKI""

Kok sekarang yg justru di tangkap polisi penyebar hoax anggota FPI? Siapa sejatinya yg PKI ?";56;34;1;5;-1.0;-62.0;0.0;1.125;15;8;-33;polisi penyebar video isu bohong rusuh mk anggota fpi httpurl teriak teriak warning hati hati propaganda pki tangkap polisi penyebar isu bohong anggota fpi sejati pki;166;12;4.0;4.0;2.0;1;1;1
89;PututEkojati;1091943913999413249;"*Presiden kita PRABOWO-SANDI dan Parlemen kita diisi oleh Caleg dari :*
- *PAN*
- *PKS*
- *PARTAI GERINDRA.*
- *PARTAI DEMOKRAT*
- *PARTAI BERKARYA*

One more time...
*PILIH CALEG DARI PARTAI DIATAS SAJA. JANGAN YANG LAIN!!!*
#17AprilGantiPresiden 
#2019PrabowoPresidenRI";7;5;0;2;-1.0;-8.5;0.0;0.125;12;6;-5;presiden prabowo sandi parlemen diisi caleg pan pks partai gerindra partai demokrat partai berkarya one more time pilih caleg partai diatas;139;12;4.0;3.0;3.0;2;2;1
90;mnoor_ichsan;1056768498825801728;"Kalau ada yg bagi bagi uang gua foto gua kirim share, biar di ciduk kpk karna OTT wo.😋
Kampanye damai bersih tanpa bagi bagi uang.
Prabowo Ada yang Bagi-bagi Uang, Terima, Itu Uang Rakyat https://t.co/tFSOuiqSGE
Prabowo: Kalau Ada yang Bagi-bagi Uang, Terima, Itu Uang Rakyat";3;0;0;0;0.0;0.0;0.0;0.0;16;12;0;uang foto kirim share ciduk kpk ott wo kampanye damai bersih uang prabowo uang terima uang rakyat httpurl prabowo uang terima uang rakyat;137;12;4.0;1.0;1.0;2;3;2
99;tamrintomagola;1096946974618574848;"Masyarakat patriarki Indonesia anggap relasi bapak-anak dlm keluarga dpt diterapkan dlm relasi Presiden-Rakyat.

Presiden itu satu dri rakyat yg dipilih o/ rakyat. Presiden hrs dikontrol RAKYAT..

Perlakukan rakyat sbg anak2 tdk dewasakan rakyat jdi WNI yg punya civic competency https://t.co/ebrizAoV6z";107;95;3;12;-1.0;-148.5;1.0;0.0;18;19;-17;masyarakat patriarki indonesia anggap relasi anak keluarga diterapkan relasi presiden rakyat presiden rakyat dipilih o rakyat presiden dikontrol rakyat perlakukan rakyat anak dewasakan rakyat wni civic competency httpurl;220;11;4.0;4.0;2.0;3;2;1
107;dvfirmansyah94;1100407641677807622;"@Maruarar_Sirait : Pilpres adlh pertarungan merebut simpati/hati masy. Jokowi, blm prnh gagal merebut simpati/hati masy, sjk dr Walikota Solo, Gubernur DKI Jakarta, smp Presiden RI. Sdngkn Prabowo sll gagal merebut simpati/hati masy dlm 2x Pilpres.
#ILCPerangTotalPerangBadar";1;0;0;1;-1.0;-0.5;0.25;1.5;19;11;-23;pilpres pertarungan merebut simpati hati masyarakat jokowi gagal merebut simpati hati masyarakat sjk walikota solo gubernur dki jakarta presiden ri sdngkn prabowo gagal merebut simpati hati masyarakat pilpres;208;11;3.0;1.0;3.0;1;1;1
108;JoeAriesta3;1038424005076643841;@liputan6dotcom yg bener itu ketua teamses Vs ketua teamses,.Erick Tohir Vs Joko Santoso,.capres/cawapres Vs capres/cawapres,gmna critane bro @sandiuno yg seorang cawapres Vs @erickthohir sbg ketua team kampanye?! kata anak2 milenial ini mah jaka sembung bawa golok atuh min,.?! 😊;4;1;0;0;-1.0;-3.0;0.125;0.0;10;5;-7;ketua teamses vs ketua teamses erick tohir vs joko santoso capres cawapres vs capres cawapres critane saudara laki-laki cawapres vs ketua team kampanye anak milenial jaka sembung bawa golok kalau begitu min;206;11;4.0;4.0;2.0;2;2;1
111;nikky_cheese;1075281693634813952;"@rizieqdivist @SGM_cules @SammiSoh Efeknya PDIP bs tambah difitnah &amp; dimusuhi Radikal! Krn cm PDIP yg nasionalis tulen, dr jadul ibu Mega gak pernah mw kerja sama dg radikal,krn NKRI-Pancasila harga mati!Tp parpol nasionalis2an (PD&amp;Gerindra) slalu pake JASA Radikal utk bs menang! (Skrg rkyt yg menikmati akibatnya)";7;1;0;0;-1.0;-4.5;0.125;1.25;17;24;-31;efek pdip difitnah dimusuhi radikal pdip nasionalis tulen jaman dulu mega kerja radikal nkri pancasila harga mati partai politik nasionalis pddangerindra pakai jasa radikal menang rkyt menikmati akibat;201;11;3.0;4.0;3.0;1;1;1
133;fariji_lacak;1043924965307772929;"*Skedar Urun Rembuk*
Lebih baik pihak Oposisi itu FOKUS ke Pilleg drpd ke Pilpres. Jgn sampai tdk punya Wakil baik di DPR maupun di DPRD. 

Sbab, Gubernur, Bupati &amp; Walikota diSeluruh Indonesia sdh men-Deklarasikan DUKUNG Jokowi-Amin. (Kecuali Gubernur DKI).
Ini FAKTA lho... https://t.co/HofMPACbfj";33;22;1;5;-1.0;-38.5;0.25;0.0;8;13;-15;skedar urun rembuk oposisi fokus pilleg pilpres wakil dpr dprd sbab gubernur bupati walikota diseluruh indonesia men deklarasikan dukung jokowi amin gubernur dki fakta lho httpurl;179;11;3.0;2.0;3.0;2;2;1
134;Grantikapashter;1071821117164154881;"Presiden Joko Widodo DAN AHOK SEBAGAI INSPIRASI PSI

Ketua Umum Partai Solidaritas Indonesia Sis Grace Natalie mengatakan lahirnya PSI terinspirasi dari dua tokoh di Indonesia yakni Joko Widodo dan Basuki Tjahaja Purnama atau Ahok. 

https://t.co/DcDf2cBkFi";0;0;0;0;0.0;0.0;1.0;0.125;9;8;-6;presiden joko widodo ahok inspirasi psi ketua partai solidaritas indonesia sis grace natalie lahir psi terinspirasi tokoh indonesia joko widodo basuki tjahaja purnama ahok httpurl;179;11;3.0;4.0;3.0;3;2;2
136;FermanaMan;1105526019899809792;@fathan_falaky @AngrySipelebegu @Dandhy_Laksono @ariel_heryanto @haris_azhar Oke. Dan capres itu ditunjuk parpol untuk diterima KPU sebagai capres bila semua persyaratan terpenuhi. Mewakili siapakah parpol itu? Rakyat atau kepentingan parpolnya? Alasan golput itu tidak semata karena dua nama calon tapi  juga karena parpol dan sistem politiknya.;5;1;0;2;-1.0;-3.5;1.0;0.5;12;7;-15;capres partai politik diterima kpu capres persyaratan terpenuhi mewakili partai politik rakyat kepentingan parpolnya alasan golongan putih nama calon partai politik sistem politik;179;11;4.0;4.0;2.0;2;1;1
138;MuzawwirNEW;1078569087616245760;"@RizmaWidiono 2014 Jokowi vs Prabowo
2019 Jokowi vs Prabowo
2024 Ridwan Kamil vs Prabowo
2029 Ridwan Kamil vs Prabowo
2034 Anis Baswedan vs Prabowo
2039 Anis Baswedan vs Prabowo
2044 Jan ethes vs Prabowo

Gitu aja terus sampe upin ipin lulus kuliah Hahahaha";1;0;0;0;0.0;0.0;0.0;0.0;6;12;-2;jokowi vs prabowo jokowi vs prabowo ridwan kamil vs prabowo ridwan kamil vs prabowo anies baswedan vs prabowo anies baswedan vs prabowo jan ethes vs prabowo upin ipin lulus kuliah;179;11;4.0;1.0;1.0;2;3;2
142;ShaqeerAkhmad;1118912980790333441;"@do_ra_dong @KPU_ID wah KPU mulai ""bekerja keras"" nih memenangkan Jokodok..  harusnya klo tujuannya Jokowi menang, ga usah pake pemilu yg ngabisin trilyunan cm buat pemilu yg bobrok. mending pas dr awal KPU d sumpah, bilang sm rakyat, pemilu udh slesai. Jokodok yg menang. jd ga ngabisin duit rakyat.";3;1;0;0;1.0;2.5;0.125;0.875;14;15;-22;kpu keras memenangkan jokodok tujuan jokowi menang pakai pemilu ngabisin trilyunan pemilu bobrok bagusan kpu sumpah rakyat pemilu selesai jokodok menang ngabisin uang rakyat;173;11;1.0;4.0;1.0;1;1;3
145;AbahRafan1;1122181772194664448;"@Dahnilanzar @prabowo @sandiuno Pemilu 2019 jd pemilu paling BOBROK &amp; BUSUK, Tp menjadi pemilu paling diserbu dukungan rakyat yg sdh tak sabar ingin perubahan.
Dukungan rakyat dr sblm &amp; stlh pemilu mengamankan suara rakyat!
Ada Rakyat yg mengamankan suara rakyat
Di sisi lain Ada aparat yg merampok suara rakyat";1;0;0;1;-1.0;-0.5;0.25;1.5;16;17;-13;pemilu pemilu bobrok <makian> pemilu diserbu dukungan rakyat sabar perubahan dukungan rakyat pemilu mengamankan rakyat rakyat mengamankan rakyat sisi aparat merampok rakyat;172;11;4.0;4.0;2.0;1;2;1
146;HendroP90921707;1085563762130673664;"@ices_tea @faried58022486 Kami Bangsa Indonesia dan Rakyat Indonesia butuh Presiden yg Istimewa, bukan yg biasa2 saja.
Prabowo adalah pilohan Rakyat Indonesia. Kami butuh presiden yg unggul, bukan yg picisan. Dan rakyat memilih Prabowo.
Anda kalap, tukang las masih buka";5;2;0;0;-1.0;-4.5;1.25;1.25;16;10;-21;bangsa indonesia rakyat indonesia butuh presiden istimewa prabowo pilohan rakyat indonesia butuh presiden unggul picisan rakyat memilih prabowo kalap tukang las masuk buka;171;11;4.0;3.0;3.0;2;1;1
147;fariji_lacak;1043882714305155072;"*Skedar Urun Rembuk*
Lebih baik pihak Oposisi itu FOKUS ke Pilleg drpd ke Pilpres. Jgn sampai tdk punya Wakil baik di DPR maupun di DPRD. 

Sbab, Gubernur, Bupati &amp; Walikota diSeluruh Indonesia sdh men-Deklarasikan DUKUNG Jokowi-Amin. (Kecuali Gubernur DKI).
Ini FAKTA lho...";2;1;0;1;-1.0;-2.0;0.25;0.0;8;13;-15;skedar urun rembuk oposisi fokus pilleg pilpres wakil dpr dprd sbab gubernur bupati walikota diseluruh indonesia men deklarasikan dukung jokowi amin gubernur dki fakta lho;171;11;3.0;4.0;3.0;2;2;1
149;RadioDakta;1092327419283943424;Parpol Koalisi Indonesia Kerja tingkat Kabupaten Bekasi mengakui suara dari kalangan buruh tidak akan didapat oleh Capres Cawapres Jokowi- Maruf Amin karena organisasi buruh sudah mendukung paslon 02 Prabowo-Sandi. https://t.co/bJ3WlNWG4b;6;3;1;0;0.0;0.0;0.125;0.0;11;8;-4;partai politik koalisi indonesia kerja kabupaten bekasi mengakui kalangan buruh capres cawapres jokowi maruf amin organisasi buruh mendukung paslon prabowo sandi httpurl;169;11;1.0;3.0;1.0;2;2;2
153;kpukotajogja;1049219535641796608;"Hari sabtu tanggal 6 Oktober 2018 yang lalu, KPU Kota Yogyakarta telah mengadakan Deklarasi Kampanye Damai Pemilu 2019. Semoga Deklarasi Kampanye Damai ini, bukan hanya sekedar deklarasi, tapi benar-benar menjadi Kampanye yang bebas dari hoax dan politik uang 😊
#kpukotajogja https://t.co/znbbM2LtLP";1;1;0;0;1.0;1.5;0.5;0.125;16;9;-25;tanggal oktober kpu kota yogyakarta mengadakan deklarasi kampanye damai pemilu semoga deklarasi kampanye damai deklarasi kampanye bebas isu bohong politik uang httpurl;167;11;4.0;4.0;2.0;2;1;3
155;fariji_lacak;1035818136153468928;"Hanya Org Goblok, Picek &amp; Barisan Sakit Hati yg bisa DIRAYU oleh MAS, NW, AD &amp; RG utk diajak Deklarasi ""2019GantiPresiden"". Sbab:
1.Siapa Presidennya?
2.Ganti Presiden hrs ada MEKANISMENYA, yaitu Pemilu/Pilpres.

Kalo msh Ngotot Deklarasi 2019GantiPresiden, brarti MAKAR.";3;0;1;3;-1.0;-1.5;0.375;1.75;12;22;-22;bodoh picek barisan sakit hati dirayu nw rg diajak deklarasi ganti presiden sbab presiden ganti presiden mekanisme pemilu pilpres ngotot deklarasi ganti presiden makar;167;11;4.0;4.0;2.0;1;2;1
157;fariji_lacak;1058720475231137792;"Dari 260 jt Rkyt Indonesia, yg BENCI sm Jokowi hanya:
1.Koruptor.
2.Teroris, JAD, HTI, FUI, FPI.
3.Partai Partai Allah.
4.Sebagian Partai Oposisi.
5.Barisan Sakit Hati.

Kalo di TOTAL sekitar 20-30% dari kurang-lebih 260 juta Rkyt Indonesia.

Ini FAKTA lho ya...bukan HOAX.";2;1;0;0;-1.0;-2.0;0.375;0.875;11;11;-20;jt rkyt indonesia benci jokowi koruptor teroris jad hti fui fpi partai partai allah partai oposisi barisan sakit hati total juta rkyt indonesia fakta lho isu bohong;164;11;3.0;4.0;3.0;2;1;1
