id;username;tweetID;content;likeCount;retweetCount;quoteCount;replyCount;label;weighted_sentiment;pos_sentiword;neg_sentiword;len;pos_inset;neg_inset;normalized;len_normalized;n_keywords;tag_owi;tag_prab;tag_overall
10;RADENSA71855262;1105436415989506048;"@LadzuardiR @fadlizon DPR KORUP PDIP 🤣
Turoechan Asy’ari, DPRD 
Izedrik Emir Moeis, DPR 
Agus Chondro Prayitno, DPR
Max Moein, anggota DPR 
Rusman Lumbantoruan, DPR
Poltak Sitorus ,DPR
Panda Nababan, DPR 
Engelina Patiasina, DPR 
M Iqbal, DPR
Budiningsih, DPR
effri Tongas, DPR 
Ni Luh Mariani, DPR";1;0;0;1;-1.0;-0.5;0.125;0.25;5;4;-7;dpr korupsi pdip turoechan asy ari dprd izedrik emir moeis dpr agus chondro prayitno dpr max moein anggota dpr rusman lumbantoruan dpr poltak sitorus dpr panda nababan dpr engelina patiasina dpr m iqbal dpr budiningsih dpr effri tongas dpr mariani dpr;251;15;1.0;4.0;1.0
12;angkusanang;1062947979189923840;"Panduan saya dalam memilih !.

Saya akan pilih paslon Presiden &amp; wakil presiden yg diusung oleh gabungan Parpol yg bukan Parpol pembela penista agama.

Saya akan pilih Caleg yg Muslim &amp; tidak diusung oleh Parpol pendukung penista agama &amp; bukan pula Parpol juara korupsi.";9;1;0;1;-1.0;-5.5;0.25;0.375;21;13;-23;panduan memilih pilih paslon presiden wakil presiden diusung gabungan partai politik partai politik pembela penista agama pilih caleg muslim diusung partai politik pendukung penista agama partai politik juara korupsi;216;15;1.0;3.0;1.0
13;Nusanta23982916;1125612357953015808;@Lidabasah @jokowi @prabowo @Gerindra @GesuriID ** JOKOWI JUARA... JOKOWI JUARA.. 01 MENANG... 01 MENANG.. Akal sehat menang... Akal sehat menang... Rakyat menang... Rakyat menang... Indonesia maju menang.. Indonesia maju menang...💑 TUHAN Masih SAYANG INDONESIA 💑.;2;0;0;0;1.0;1.0;1.875;0.75;20;46;-48;jokowi juara jokowi juara menang menang akal sehat menang akal sehat menang rakyat menang rakyat menang indonesia maju menang indonesia maju menang tuhan masuk sayang indonesia;176;15;3.0;4.0;3.0
14;fariji_lacak;1087494031167246336;"Hahaha Habib/Ulama KHUSUS.
1.Ulama KHUSUS Instan.
2.Ulama KHUSUS diMedsos.
3.Ulama KHUSUS Deklarasi Ganti Presiden.
4.Ulama KHUSUS Demo.
5.Ulama KHUSUS triak2 Takber.
6.Ulama KHUSUS Ijtima.
7.Ulama KHUSUS Fitnah Jokowi.
8.Ulama KHUSUS Reuni 212.
9.Ulama KHUSUS Hoax.
10.isi sndiri https://t.co/wGDBmA7wkZ";5;4;0;0;-1.0;-6.5;0.75;0.5;17;38;-25;habib ulama ulama instan ulama dimedsos ulama deklarasi ganti presiden ulama demo ulama triak takber ulama ijtima ulama fitnah jokowi ulama reuni ulama isu bohong isi httpurl;174;15;2.0;4.0;1.0
15;SMILE39461132;1120501976855470086;"@BangHas1705 @1nd1nd @PriyoBudiS Sahabat relawan 02; kenapa kita yakin Prabowo Sandi menang :
1. Deklarasi Prabowo Sandi menang adalah pernyataan seorang kesatria, ada bukti dan fakta.
2. 01 yg kata survei menang belum deklarasi kemenangan karena faktanya kalah, sdg ikhtiar utk menang lewat cara apapun.";5;5;0;0;1.0;7.5;0.375;0.5;17;25;-47;sahabat relawan prabowo sandi menang deklarasi prabowo sandi menang pernyataan kesatria bukti fakta survei menang deklarasi kemenangan fakta kalah sdg ikhtiar menang apapun;172;15;1.0;3.0;1.0
16;rillamaria_;1090787163535400960;"Jangan Salah Pilih PEMIMPIN
Jangan Salah Pilih CALEG 

pilihan kalian menentukan masa depan Indonesia ..

*Pilih Prabowo Sandi utk Indonesia Adil Makmur 

*Pilih Caleg dari Partai Koalisi 02 

-SALAM ADIL MAKMUR ✌️👆- https://t.co/B97JjH85RZ";1;0;0;0;1.0;0.5;0.0;0.25;16;21;-22;salah pilih pemimpin salah pilih caleg pilihan menentukan indonesia pilih prabowo sandi indonesia adil makmur pilih caleg partai koalisi salam adil makmur httpurl;162;15;2.0;3.0;3.0
17;fariji_lacak;1067582111828258816;"hanya di-ERA Jokowi ada ULAMA KHUSUS.
1.Ulama KHUSUS Instan.
2.Ulama KHUSUS Medsos.
3.Ulama KHUSUS 2019GantiPresiden.
4.Ulama KHUSUS Demo.
5.Ulama KHUSUS Takber.
6.Ulama KHUSUS Ijtima.
7.Ulama KHUSUS Bendera.
8.Ulama KHUSUS Jewer Kuping.
9.Ulama KHUSUS Reuni 212.

Ulama drmn ya?";4;2;0;1;-1.0;-4.0;0.5;0.0;15;39;-9;era jokowi ulama ulama instan ulama medsos ulama ganti presiden ulama demo ulama takber ulama ijtima ulama bendera ulama jewer kuping ulama reuni ulama;151;15;2.0;4.0;1.0
18;Rimbang_Mato;1038455060789833728;"@HaqueMarissa Pilihan Capres PRABOWO/JOKOWI
Pilihan Cawapres SANDI/M.AMIN
Prabowo lebih berwibawa daripada Jokowi
Sandi jauh lebih bertenaga daripada pak maruf.
Pilihan paling baik bagi rakyat adalah PADI PRABOWO-SANDI.
#menurutsaya";27;4;0;4;1.0;17.5;1.0;0.0;8;26;-3;pilihan capres prabowo jokowi pilihan cawapres sandi m amin prabowo berwibawa jokowi sandi bertenaga maruf pilihan rakyat padi prabowo sandi;140;15;1.0;3.0;3.0
19;meyyshaan;1085890144756936704;"Pokoknya uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang, uang. Gitu ya, pak, strateginya?

Okay shiyaaap.";3;1;0;1;1.0;2.5;0.125;0.125;18;7;-3;pokok uang uang uang uang uang uang uang uang uang uang uang uang uang uang uang strategi okay shiyaaap;103;15;4.0;4.0;1.0
20;PartaiPerindo;1041704319756656640;"Ketum Partai Perindo @Hary_Tanoe bersama Presiden RI @Jokowi membuka Pembekalan Caleg Perindo untuk DPR RI. Kegiatan bertajuk ""Raih Kemenangan utk Indonesia Sejahtera"" ini diikuti 575 caleg DPR RI, pimpinan DPP Partai Perindo, pimpinan sayap-sayap partai &amp; Ketua DPW se-Indonesia https://t.co/FUfuN1De11";5;9;0;0;0.0;0.0;0.5;0.25;14;5;-8;ketum partai perindo presiden ri membuka pembekalan caleg perindo dpr ri bertajuk raih kemenangan indonesia sejahtera diikuti caleg dpr ri pimpinan dpp partai perindo pimpinan sayap sayap partai ketua dpw indonesia httpurl;222;14;2.0;4.0;2.0
21;tata_pmryn;1134038829441019904;"@republikaonline 78 % pegawai BUMN pilih Prabowo, 72 % ASN pilih Prabowo, di komplek paspampres Prabowo unggul, di daerah yg DULU Islamnya kuat prabowo menang, NU kultural dukung Prabowo, kaum milenial Prabowo unggul, emak2 Prabowo unggul.

Tp ko' bs Jkw yg menang?";4;0;0;1;-1.0;-2.0;2.625;0.0;16;21;-17;pegawai bumn pilih prabowo asn pilih prabowo komplek paspampres prabowo unggul daerah islam kuat prabowo menang nu kultural dukung prabowo kaum milenial prabowo unggul emak prabowo unggul jokowi menang;201;14;1.0;3.0;1.0
22;fariji_lacak;1044963168131276800;"@tridamarjati66 @aewin86 @Ndeso_Lugu @YLBHI Andai PEREBUTAN Kursi Wagub DKI antara Gerindra &amp; PKS dibawa keDPRD DKI.

Kami MOHON kpd Anggota DPRD DKI dari Parpol Pendukung Jokowi, agar MEMILIH Cawagub dari Gerindra.

Bila Wagub DKI dari Gerindra...maka tuduhan bahwa PKS hanya dijadikan BAN SEREP, jadi Terbukti, hehehe.";3;0;0;1;-1.0;-1.5;0.25;0.25;12;12;-9;perebutan kursi wagub dki gerindra pks dibawa kedprd dki mohon anggota dprd dki partai politik pendukung jokowi memilih cawagub gerindra wagub dki gerindra tuduhan pks dijadikan ban serep terbukti;196;14;2.0;2.0;2.0
23;Makmur13745478;1126049139634999296;@MeutiaArrayan @Janabachri @panca66 @RTanjco 2009 anda tahu saingan SBY Megawati-Prabowo. 2012 pilkada DKI setelah kekalahan Hidayat Nurwahid putaran pertama PKS mulai merapat ke Gerindra terbukti menangnya Jokowi-Ahok. Rakyat memilih langsung presiden 2014 Jokowi yang dibesarkan oleh Gerindra dan PKS sendiri.;1;1;0;3;0.0;0.0;0.0;0.0;10;11;-5;saingan sby megawati prabowo pemilihan kepala daerah dki kekalahan hidayat nurwahid putaran pks merapat gerindra terbukti menang jokowi ahok rakyat memilih presiden jokowi dibesarkan gerindra pks;195;14;3.0;4.0;2.0
24;fariji_lacak;1077479534201458689;"@projopusat @RizmaWidiono @TheArieAir @Ernijasin @V_Stone_Kardol @purwo82092883 @JagaJokowi @BadjaNuswantara @Airin_NZ @P3nj3l4j4h @04Nakula @triwul82 sejak adanya PILPRES, mendadak banyak yg jd Ustadz/Ustadzah/Habib/Ulama :

1.Ulama Instan.
2.Ulama Sosmed.
3.Ulama 2019GantiPresiden.
4.Ulama KHUSUS Ijtima.
5.Ulama Demo.
6.Ulama Bendera &amp; teriak2 Takber.
7.Ulama KHUSUS Serang Jokowi.
8.Ulama Reuni.
9.Ulama KHUSUS Jewer Kuping.";1;0;0;0;-1.0;-0.5;0.75;0.625;17;39;-15;pilpres mendadak ustadz ustadzah habib ulama ulama instan ulama sosmed ulama ganti presiden ulama ijtima ulama demo ulama bendera teriak takber ulama serang jokowi ulama reuni ulama jewer kuping;194;14;2.0;4.0;1.0
25;fariji_lacak;1077479860233064448;"@_adityaiskandar @dewiirawan13 @habibthink @P3nj3l4j4h @CH_chotimah @Herrreza @ulinyusron @yusuf_dumdum @ronavioleta sejak adanya PILPRES, mendadak banyak yg jd Ustadz/Ustadzah/Habib/Ulama :

1.Ulama Instan.
2.Ulama Sosmed.
3.Ulama 2019GantiPresiden.
4.Ulama KHUSUS Ijtima.
5.Ulama Demo.
6.Ulama Bendera &amp; teriak2 Takber.
7.Ulama KHUSUS Serang Jokowi.
8.Ulama Reuni.
9.Ulama KHUSUS Jewer Kuping.";11;7;1;3;-1.0;-12.5;0.75;0.625;17;39;-15;pilpres mendadak ustadz ustadzah habib ulama ulama instan ulama sosmed ulama ganti presiden ulama ijtima ulama demo ulama bendera teriak takber ulama serang jokowi ulama reuni ulama jewer kuping;194;14;2.0;4.0;1.0
26;fariji_lacak;1077479300717207553;"sejak adanya PILPRES, mendadak banyak yg jd Ustadz/Ustadzah/Habib/Ulama :

1.Ulama Instan.
2.Ulama Sosmed.
3.Ulama 2019GantiPresiden.
4.Ulama KHUSUS Ijtima.
5.Ulama Demo.
6.Ulama Bendera &amp; teriak2 Takber.
7.Ulama KHUSUS Serang Jokowi.
8.Ulama Reuni.
9.Ulama KHUSUS Jewer Kuping.";2;0;0;0;-1.0;-1.0;0.75;0.625;17;39;-15;pilpres mendadak ustadz ustadzah habib ulama ulama instan ulama sosmed ulama ganti presiden ulama ijtima ulama demo ulama bendera teriak takber ulama serang jokowi ulama reuni ulama jewer kuping;194;14;2.0;4.0;1.0
27;fariji_lacak;1050936253221228544;"@sahaL_AS *CATAT. Ada Ulama KHUSUS, hanya di-Era Jokowi*
1.Santri/Ulama KHUSUS Instan.
2.Ustadz/Ulama KHUSUS Demo.
3.Ustadz/Ulama KHUSUS triak2 Takbeer.
4.Ulama KHUSUS Ijtima.
5.Ustadz/Ustadzah KHUSUS 2019GantiPresiden.
6.Ulama KHUSUS Hoax.
7.Ulama KHUSUS Kawal Ulama bila dipanggil Polisi.";20;3;0;1;-1.0;-13.0;0.5;0.375;13;40;-15;catat ulama era jokowi santri ulama instan ustadz ulama demo ustadz ulama triak takbeer ulama ijtima ustadz ustadzah ganti presiden ulama isu bohong ulama kawal ulama dipanggil polisi;183;14;2.0;4.0;1.0
28;boedhiembud;1085816314973712385;"@addiems Karena presidennya g pernah minta maaf ke rakyat indonesia karena gagal memakmurkan rakyat indonesia..
Segitu sombong nya presiden dan pendukungnya sehingga disangkanya semua hebat karena presiden jokowi.
Pendukung jokowi = jokowi..
Pendukung prabowo = akal sehat.";2;0;0;3;-1.0;-1.0;1.0;0.5;16;27;-11;presiden maaf rakyat indonesia gagal memakmurkan rakyat indonesia sombong presiden pendukung disangka hebat presiden jokowi pendukung jokowi jokowi pendukung prabowo akal sehat;176;14;1.0;3.0;1.0
29;A_Sae_F;1068258491935055872;"@Biawak_Buas @DivHumas_Polri @CCICPolri Ulama tidak bisa dipenjara jika Ulama itu dipihak prabowo-sandi. Ulama tidak bisa dipenjara jika Ulama itu di pihak ormas FPI.

Pemerintah dan hukum harus tunduk dengan aturan FPI, karena FPI adalah Owner Untuk pemerintah dan Hukum. Hanya FPI yang berhak untuk berdaulat.";3;0;1;1;-1.0;-1.5;0.625;0.0;15;19;-14;ulama dipenjara ulama dipihak prabowo sandi ulama dipenjara ulama ormas fpi pemerintah hukum tunduk aturan fpi fpi owner pemerintah hukum fpi berhak berdaulat;158;14;2.0;1.0;1.0
30;fariji_lacak;1067431653222449153;"hanya di-ERA Jokowi ada ULAMA KHUSUS.
1.Ulama KHUSUS Instan.
2.Ulama KHUSUS di Medsos.
3.Ulama KHUSUS 2019GantiPresiden.
4.Ulama KHUSUS Demo.
5.Ulama KHUSUS Takber.
6.Ulama KHUSUS Ijtima.
7.Ulama KHUSUS Bendera.
8.Ulama KHUSUS Jewer Kuping.
9.Ulama KHUSUS Reuni 212.

LUCU ya..??";9;1;0;1;-1.0;-5.5;0.5;0.0;15;39;-11;era jokowi ulama ulama instan ulama medsos ulama ganti presiden ulama demo ulama takber ulama ijtima ulama bendera ulama jewer kuping ulama reuni lucu;150;14;2.0;4.0;1.0
31;nikky_cheese;1073847049341136897;"@kurawa Mknya om hrs FOKUS juga mendukung JKW ... jangan fokus kemana2 ... hehe. Semua pendukung AHOK jelas hrs mendukung JKW. Krn JKW &amp; AHOK pasti saling mendukung &amp; mrk adalah musuh bersama RADIKAL &amp; KORUPTOR ORBA!";2;1;0;1;-1.0;-2.0;0.25;0.125;8;10;-12;mknya om fokus mendukung jokowi fokus pendukung ahok mendukung jokowi jokowi ahok mendukung musuh radikal koruptor orba;119;14;3.0;1.0;2.0
32;todaro_tody;1094172794378543104;"@kemalarsjad Esemka hoax atw bohong?
Pert. Ekonomi 7% hoax atw bohong?
Tolak impor beras hoax atw bohong?
Tolak utang luar negeri hoax atw bohong?
Pembebasan ustad ABB hoax atw bohong?
Pertamina kalahkan petronas hoax atw bohong?

Ape capek ngetiknya saking banyaknya";11;1;0;1;-1.0;-6.5;0.375;0.375;16;4;-82;esemka isu bohong atw bohong pert ekonomi isu bohong atw bohong tolak impor beras isu bohong atw bohong tolak utang negeri isu bohong atw bohong pembebasan ustad abb isu bohong atw bohong pertamina kalahkan petronas isu bohong atw bohong capek ngetiknya saking;260;13;1.0;4.0;1.0
33;fariji_lacak;1078600925390893056;"dari 260 Jt Rkyt Indonesia, yg BENCI Jokowi hanya:
1.Teroris, JAD, HTI, FPI, FUI, GNPF-Ulama, 212.
2.Ustadz/Ustadzah/Habib/Ulama Impor, Ulama Abal2, Ulama Doyan DEMO, triak2 Takber, Ulama Intoleran, Ulama Pemecah-belah Bangsa.
3.Koruptor.
4.Barisan Sakit Hati.
5.Partai Oposisi.";5;0;0;1;-1.0;-2.5;0.875;1.0;18;28;-25;jt rkyt indonesia benci jokowi teroris jad hti fpi fui gnpf ulama ustadz ustadzah habib ulama impor ulama jelek ulama suka demo triak takber ulama intoleran ulama pemecah belah bangsa koruptor barisan sakit hati partai oposisi;226;13;4.0;1.0;1.0
34;tamrintomagola;1043492572046356480;"Milik pemerintah ? Semua Pemda itu milik Negara, Abdi bangsa !

Pemerintah beda dengan Negara dan Bangsa. Pemerintah itu Presiden yg menang Pilpres (UUD 45). Negara itu keseluruhan Tatatanan Kelembagaan yg berdaulat atas wilayah Indonesia. Bangsa itu kesatuan politik rakyat https://t.co/hO1Kg3TEVI";10;3;1;2;-1.0;-8.0;0.25;0.375;20;7;-11;pemerintah pemerintah daerah negara abdi bangsa pemerintah beda negara bangsa pemerintah presiden menang pilpres uud negara tatatanan kelembagaan berdaulat wilayah indonesia bangsa kesatuan politik rakyat httpurl;212;13;4.0;4.0;2.0
35;Arisyanabassama;1078124611558989824;"Elektabilitas Jokowi makin nyungsep di bawah 30%

Belum terlambat bagi rakyat yg tertipu jadi pendukung Jokowi 

Nyatakan tegas kehendak rakyat: 

No more Proxy No more Jokowi !

Memenangkan Prabowo Sandi di atas 80%

Menangkan partai pendukung Prabowo - sandi dg mayoritas di DPR";2;0;0;0;-1.0;-1.0;0.5;0.375;11;8;0;elektabilitas jokowi nyungsep terlambat rakyat tertipu pendukung jokowi nyatakan kehendak rakyat nomor more proxy nomor more jokowi memenangkan prabowo sandi menangkan partai pendukung prabowo sandi mayoritas dpr;212;13;1.0;3.0;2.0
36;Infonesia21;1043826196637601804;@Dahnilanzar @prabowo @sandiuno Bukan presiden sebagai petugas partai tapi presiden seluruh rakyat indonesia. Presiden yg berjuang dan bertugas utk rakyat indonesia. Presiden yg memberi rasa adil bagi seluruh rakyat indonesia.  Presiden yg menjaga persatuan bukan presiden yg mengadu domba dan memecah belah;10;1;0;0;1.0;6.0;0.5;0.125;20;22;-21;presiden petugas partai presiden rakyat indonesia presiden berjuang bertugas rakyat indonesia presiden adil rakyat indonesia presiden menjaga persatuan presiden mengadu domba memecah belah;188;13;1.0;3.0;2.0
37;ruhutsitompul;1076628476260638721;"Pak SBY Kurang Fokus mendukung Prabowo &amp; Sandi, “ Dgn Pernyataan Jangan Ganggu Koalisi yg Beliau dukung” Pak SBY lihat dong Kelakuan Pendukung 02 bahkan Prabowo &amp; Sandi kerjanya Bohong Fitnah Nyinyir Marah2in Sahabat2 Wartawan &amp; Mukul2 Meja didepan Ulama. #01JokowiLagi MERDEKA.";1372;208;32;376;-1.0;-894.0;2.0;1.25;18;23;-29;sby fokus mendukung prabowo sandi pernyataan ganggu koalisi dukung sby lihat kelakuan pendukung prabowo sandi kerja bohong fitnah nyinyir marah in sahabat wartawan mukul meja didepan ulama;188;13;4.0;1.0;1.0
38;fariji_lacak;1050567542811422720;"*CATAT. Ulama Khusus, hanya ada di-Era Jokowi*
1.Santri/Ulama KHUSUS Instan.
2.Ustadz/Ulama KHUSUS Demo.
3.Ustadz/Ulama KHUSUS triak2 Taakbeeer.
4.Ulama KHUSUS Ijtima.
5.Ustadz/Ustadzah KHUSUS 2019GantiPresiden.
6.Ulama KHUSUS Hoax.
7.Ustadz/Ustadzah/KHUSUS Kawal Ulama ke-Polisi.";5;3;0;0;-1.0;-5.5;0.5;0.0;11;40;-14;catat ulama era jokowi santri ulama instan ustadz ulama demo ustadz ulama triak taakbeeer ulama ijtima ustadz ustadzah ganti presiden ulama isu bohong ustadz ustadzah kawal ulama polisi;185;13;2.0;4.0;1.0
39;fariji_lacak;1050567271557414912;"@syharilaaa *CATAT. Ulama Khusus, hanya ada di-Era Jokowi*
1.Santri/Ulama KHUSUS Instan.
2.Ustadz/Ulama KHUSUS Demo.
3.Ustadz/Ulama KHUSUS triak2 Taakbeeer.
4.Ulama KHUSUS Ijtima.
5.Ustadz/Ustadzah KHUSUS 2019GantiPresiden.
6.Ulama KHUSUS Hoax.
7.Ustadz/Ustadzah/KHUSUS Kawal Ulama ke-Polisi.";5;2;0;0;-1.0;-4.5;0.5;0.0;11;40;-14;catat ulama era jokowi santri ulama instan ustadz ulama demo ustadz ulama triak taakbeeer ulama ijtima ustadz ustadzah ganti presiden ulama isu bohong ustadz ustadzah kawal ulama polisi;185;13;2.0;4.0;1.0
40;fariji_lacak;1050567089310720001;"*CATAT. Ulama Khusus, hanya ada di-Era Jokowi*
1.Santri/Ulama KHUSUS Instan.
2.Ustadz/Ulama KHUSUS Demo.
3.Ustadz/Ulama KHUSUS triak2 Taakbeeer.
4.Ulama KHUSUS Ijtima.
5.Ustadz/Ustadzah KHUSUS 2019GantiPresiden.
6.Ulama KHUSUS Hoax.
7.Ustadz/Ustadzah/KHUSUS Kawal Ulama ke-Polisi.";5;1;0;0;-1.0;-3.5;0.5;0.0;11;40;-14;catat ulama era jokowi santri ulama instan ustadz ulama demo ustadz ulama triak taakbeeer ulama ijtima ustadz ustadzah ganti presiden ulama isu bohong ustadz ustadzah kawal ulama polisi;185;13;2.0;4.0;1.0
41;indrasmtp;1039442062603476992;Partai Demokrat mendukung Prabowo Sandi, sementara kader partai pilih Jokowi Amin, apa munkin partai tanpa kader, apa munkin pilihan partai berhasil tanpa dukungan kader, PDemokrat dukung Prabowo Sandi sama aja pepesan kosong 👌🙏;2;1;0;0;-1.0;-2.0;0.0;0.0;15;19;-9;partai demokrat mendukung prabowo sandi kader partai pilih jokowi amin munkin partai kader munkin pilihan partai berhasil dukungan kader pdemokrat dukung prabowo sandi pepesan kosong;182;13;2.0;2.0;2.0
